#{"t_start": 1718461803.0062377, "env_id": "None"}
r,l,t
9.0,9,5.254865
10.0,10,5.254938
11.0,11,5.260806
10.0,10,5.26171
9.0,9,5.265203
10.0,10,5.272642
10.0,10,5.272712
11.0,11,5.282111
12.0,12,5.282166
10.0,10,5.282187
9.0,9,5.299382
8.0,8,5.301028
11.0,11,5.301096
9.0,9,5.301888
10.0,10,5.310088
8.0,8,5.315829
10.0,10,5.321668
10.0,10,5.321736
9.0,9,5.321764
10.0,10,5.327615
9.0,9,5.33282
9.0,9,5.338861
9.0,9,5.338932
9.0,9,5.338959
10.0,10,5.348303
8.0,8,5.349181
9.0,9,5.360104
9.0,9,5.360161
9.0,9,5.360181
10.0,10,5.366066
10.0,10,5.371212
8.0,8,5.376294
9.0,9,5.377105
10.0,10,5.380805
10.0,10,5.393209
10.0,10,5.394059
10.0,10,5.399316
8.0,8,5.399385
10.0,10,5.404582
9.0,9,5.410767
11.0,11,5.411621
8.0,8,5.415362
10.0,10,5.421398
9.0,9,5.421471
10.0,10,5.431598
9.0,9,5.43167
9.0,9,5.436812
10.0,10,5.442061
10.0,10,5.442132
9.0,9,5.448573
9.0,9,5.453732
11.0,11,5.454582
9.0,9,5.459026
10.0,10,5.45988
10.0,10,5.470887
9.0,9,5.474658
10.0,10,5.474728
9.0,9,5.476253
10.0,10,5.485102
9.0,9,5.491616
10.0,10,5.494962
11.0,11,5.495032
9.0,9,5.500221
11.0,11,5.506041
8.0,8,5.511137
9.0,9,5.511194
8.0,8,5.511227
9.0,9,5.520442
10.0,10,5.52693
9.0,9,5.528507
10.0,10,5.5365
11.0,11,5.537415
9.0,9,5.537483
8.0,8,5.543331
8.0,8,5.549096
9.0,9,5.553578
9.0,9,5.554435
10.0,10,5.555282
8.0,8,5.565326
10.0,10,5.565395
8.0,8,5.569823
9.0,9,5.571398
9.0,9,5.579134
9.0,9,5.586114
11.0,11,5.586165
12.0,12,5.586893
9.0,9,5.597969
10.0,10,5.598042
8.0,8,5.60457
8.0,8,5.605424
9.0,9,5.605492
9.0,9,5.614899
11.0,11,5.619298
8.0,8,5.621615
10.0,10,5.629647
10.0,10,5.630495
10.0,10,5.635671
9.0,9,5.636528
11.0,11,5.647445
11.0,11,5.648225
11.0,11,5.651944
10.0,10,5.653556
10.0,10,5.658659
9.0,9,5.664367
9.0,9,5.668095
9.0,9,5.66896
9.0,9,5.678504
10.0,10,5.678575
10.0,10,5.684996
10.0,10,5.685431
8.0,8,5.69412
11.0,11,5.694191
10.0,10,5.695725
8.0,8,5.703415
9.0,9,5.709425
9.0,9,5.713941
9.0,9,5.714012
9.0,9,5.715541
10.0,10,5.72526
9.0,9,5.72898
8.0,8,5.729823
11.0,11,5.735072
9.0,9,5.735142
9.0,9,5.745354
9.0,9,5.746252
8.0,8,5.746316
10.0,10,5.757209
11.0,11,5.757643
11.0,11,5.763243
11.0,11,5.76704
11.0,11,5.76711
9.0,9,5.773199
11.0,11,5.778268
9.0,9,5.783442
11.0,11,5.788615
12.0,12,5.793085
10.0,10,5.793932
9.0,9,5.795002
10.0,10,5.807398
11.0,11,5.811888
12.0,12,5.817163
11.0,11,5.817232
9.0,9,5.817258
8.0,8,5.823992
9.0,9,5.829216
8.0,8,5.833676
9.0,9,5.838828
9.0,9,5.838898
10.0,10,5.844762
11.0,11,5.850779
8.0,8,5.850849
